"","TCGA-3X-AAV9-01","TCGA-3X-AAVA-01","TCGA-3X-AAVB-01","TCGA-3X-AAVC-01","TCGA-3X-AAVE-01","TCGA-4G-AAZO-01","TCGA-4G-AAZT-01","TCGA-W5-AA2G-01","TCGA-W5-AA2H-01","TCGA-W5-AA2I-01","TCGA-W5-AA2I-11","TCGA-W5-AA2O-01","TCGA-W5-AA2Q-01","TCGA-W5-AA2Q-11","TCGA-W5-AA2R-01","TCGA-W5-AA2R-11","TCGA-W5-AA2T-01","TCGA-W5-AA2U-01","TCGA-W5-AA2U-11","TCGA-W5-AA2W-01","TCGA-W5-AA2X-01","TCGA-W5-AA2X-11","TCGA-W5-AA2Z-01","TCGA-W5-AA30-01","TCGA-W5-AA30-11","TCGA-W5-AA31-01","TCGA-W5-AA31-11","TCGA-W5-AA33-01","TCGA-W5-AA34-01","TCGA-W5-AA34-11","TCGA-W5-AA36-01","TCGA-W5-AA38-01","TCGA-W5-AA39-01","TCGA-W6-AA0S-01","TCGA-WD-A7RX-01","TCGA-YR-A95A-01","TCGA-ZD-A8I3-01","TCGA-ZH-A8Y1-01","TCGA-ZH-A8Y2-01","TCGA-ZH-A8Y4-01","TCGA-ZH-A8Y5-01","TCGA-ZH-A8Y6-01","TCGA-ZH-A8Y8-01","TCGA-ZU-A8S4-01","TCGA-ZU-A8S4-11"
"hsa-let-7a-5p",153811,119809,190562,79303,110684,107689,167773,48754,86760,222303,36839,27647,146012,164556,96310,112960,243819,83642,74702,219832,83131,93144,159156,75888,108872,84834,64988,96003,92264,51649,88781,110121,52668,94400,101905,152801,78460,183894,133551,95217,201767,93637,228366,127750,181795
"hsa-let-7a-3p",188,155,282,120,141,210,267,75,108,199,68,25,289,152,169,106,196,106,122,136,90,249,165,243,168,95,78,143,87,117,165,108,111,113,218,103,160,267,182,110,244,111,150,127,168
"hsa-let-7a-2-3p",29,25,46,1,38,30,57,14,16,56,29,5,25,33,46,45,9,44,16,12,18,37,69,43,28,18,27,47,4,45,14,6,21,21,40,44,48,28,21,12,64,31,14,247,37
"hsa-let-7b-5p",58883,34952,123675,51800,94827,104602,122311,28972,48204,129782,20437,15016,191588,79712,42553,53606,155682,33702,41405,155589,82333,50674,63916,37241,61068,36258,30618,73242,40586,26542,37298,70499,24941,35470,42830,106415,70076,206980,153715,56862,244301,18256,94915,90602,77365
"hsa-let-7b-3p",45,58,129,60,115,95,145,40,55,85,52,20,231,95,68,78,195,94,74,100,58,99,79,84,128,51,79,100,53,82,57,59,61,46,67,76,106,194,221,70,202,22,84,96,133
"hsa-let-7c-5p",12987,3212,9702,751,4685,2520,10586,4692,5864,8729,8940,1196,5119,33073,6038,29074,3393,4999,22089,3102,2174,19385,11221,3973,26535,4370,15741,6189,5200,13067,2731,1915,3571,2922,7440,10759,3928,13853,6208,4047,3663,3734,8853,5627,39504
"hsa-let-7c-3p",40,34,48,9,34,31,71,27,26,35,146,5,26,126,54,161,7,59,122,8,10,94,69,49,167,17,114,49,13,139,23,3,15,21,56,31,36,58,24,10,24,19,24,17,143
"hsa-let-7d-5p",427,701,683,670,612,490,1521,348,812,1139,225,194,771,684,587,440,1927,880,322,918,662,534,567,548,605,547,344,512,529,359,795,611,280,463,514,978,716,912,850,548,1449,232,726,484,677
"hsa-let-7d-3p",802,1835,1611,2048,1744,827,2129,1089,910,1322,667,368,2046,1373,1349,1842,2778,1888,1065,1295,1305,1209,1115,1397,2108,1660,1246,706,1073,1418,1694,1052,1045,1342,1073,1125,1516,1463,3330,959,2749,361,912,1168,1909
"hsa-let-7e-5p",8357,6135,6399,5743,2604,4370,6253,4099,1898,10402,828,671,3305,3146,2545,1557,14436,6946,1336,4387,2974,2185,6093,3206,2235,8897,1023,1592,6914,1019,5365,5480,877,3431,4323,8139,4877,7358,5270,3972,7490,3331,13050,3954,3493
"hsa-let-7e-3p",65,27,49,44,29,44,95,37,19,46,10,2,47,41,18,35,63,41,29,18,20,21,59,35,49,40,19,29,40,19,28,14,15,27,39,31,67,90,57,29,90,11,47,22,34
"hsa-let-7f-5p",53364,39299,41351,20512,18695,21766,39628,10725,22975,54584,8390,7675,17619,38796,23346,28855,55432,21067,16761,40540,18103,21922,39961,15962,22634,28763,15254,16445,33880,12711,20116,28478,8592,30573,29476,34300,16045,26463,24263,21792,26142,10506,72822,21129,51075
"hsa-let-7f-1-3p",6,7,8,12,12,3,16,4,16,11,4,2,13,11,7,9,19,18,6,17,3,10,9,7,5,7,8,8,2,8,11,6,9,6,8,8,9,14,11,6,19,0,10,15,14
"hsa-let-7f-2-3p",5,2,3,7,4,4,2,0,3,2,1,1,5,9,4,2,8,5,6,5,3,5,1,1,3,5,2,5,6,3,2,10,0,2,4,4,1,10,7,5,0,1,4,3,3
"hsa-miR-15a-5p",974,847,1029,1062,540,977,1001,493,832,2503,312,279,838,1739,499,868,1570,559,860,922,505,893,492,700,919,598,659,557,942,528,533,673,421,744,951,539,683,990,559,657,1005,1274,1837,676,1520
"hsa-miR-15a-3p",0,0,0,2,0,0,4,1,0,0,0,1,1,2,0,1,1,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1
"hsa-miR-16-5p",1375,1493,1289,3023,2709,2830,2772,1353,2975,4523,675,1055,2382,2673,3244,1513,5041,2497,1514,3263,1377,1951,1296,1819,2140,1339,1260,2536,2398,1332,1781,2408,1048,1088,2411,2379,2399,2366,1992,2221,2835,1984,2637,1510,2269
"hsa-miR-16-1-3p",7,13,13,20,19,15,20,13,30,24,13,8,14,47,15,20,31,25,24,32,8,23,7,16,20,13,25,18,15,26,18,14,21,10,11,17,22,24,12,24,20,10,27,23,35
"hsa-miR-17-5p",1496,2443,1406,2400,1412,1259,1619,1055,1169,3943,904,894,1174,3287,1161,2844,3330,1204,2196,1499,3669,2078,1029,1544,2977,1716,1857,797,1386,1891,1803,739,1056,2104,1330,1471,863,1934,1664,2411,2394,547,2767,1166,2705
"hsa-miR-17-3p",1281,1188,1109,2027,1259,1044,2162,656,1286,3049,1001,529,1413,3905,1123,3421,2725,1164,1944,2304,2232,2499,735,556,2518,1814,2348,788,1087,2113,1476,951,1051,873,1017,1613,641,1564,1796,2303,1713,455,2701,1156,3532
"hsa-miR-18a-5p",31,32,22,103,21,28,35,13,33,142,26,12,20,35,27,28,81,38,18,27,97,21,17,42,37,56,21,32,25,14,25,11,27,31,39,30,57,65,40,43,39,9,79,29,29
"hsa-miR-18a-3p",3,1,6,8,4,5,4,1,3,7,1,1,6,3,2,2,5,3,2,3,8,1,1,5,2,5,4,1,2,1,3,3,9,0,7,1,7,5,10,4,5,1,5,7,1
"hsa-miR-19a-5p",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-19a-3p",245,263,163,95,57,202,89,48,76,334,45,55,55,172,68,138,169,62,111,84,120,113,168,193,139,122,86,64,82,84,59,54,41,190,179,59,78,97,116,115,74,84,351,64,165
"hsa-miR-19b-1-5p",25,40,42,42,37,42,69,27,26,81,30,17,49,98,51,95,88,31,68,103,57,58,17,17,88,51,55,27,29,61,64,34,20,26,27,29,25,51,60,96,54,10,66,48,79
"hsa-miR-19b-3p",801,883,670,684,382,934,661,262,556,1219,221,240,584,872,467,747,838,307,873,555,676,746,620,653,861,660,446,392,448,454,458,284,196,646,694,378,406,650,458,599,644,219,1080,357,753
"hsa-miR-19b-2-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-20a-5p",1710,3110,1489,1591,1093,1278,1325,908,1313,4645,706,905,1150,4694,1307,2970,3176,1222,2961,1784,3100,1912,1123,1002,2775,1598,1776,877,1504,1725,1322,717,631,2191,1639,1615,790,1748,1350,3146,1713,576,4349,1296,3087
"hsa-miR-20a-3p",17,14,25,27,16,35,16,8,14,15,19,5,24,40,18,36,26,9,43,10,41,31,19,17,67,20,20,20,17,19,25,6,35,17,22,13,16,33,18,16,12,12,16,16,30
"hsa-miR-21-5p",4068130,2278418,3417336,781412,1582296,3983997,2160697,1341548,606503,5525467,116355,744049,1246323,685223,1134138,374611,3872686,2632510,213307,3520180,1186866,662564,3537046,1414021,456625,2717293,292841,948446,2126533,185604,1014368,2171920,635674,1999477,1989872,2688659,2280655,3050505,3183845,4029602,2707538,547441,9144895,1931291,584814
"hsa-miR-21-3p",6223,3449,7679,5455,7484,11717,13110,5411,2169,5602,1014,2224,3846,2860,3170,12107,11641,19884,2989,15267,4678,4327,5840,4916,3616,10918,3675,5325,6142,1855,5711,6411,2571,4206,6516,5036,12624,15934,12201,15600,8733,1284,8922,8572,8924
"hsa-miR-22-5p",207,149,251,105,72,211,209,75,70,387,141,35,117,146,91,149,249,156,53,156,83,172,173,138,141,151,314,125,129,173,158,183,118,125,133,159,303,116,109,179,115,94,173,226,493
"hsa-miR-22-3p",742926,631047,651078,329620,301857,385129,560096,269156,181878,731246,578613,99432,278189,1269205,356982,1328112,557532,526376,492991,476512,187153,918537,490341,287653,884861,572877,1007186,330033,387128,1021138,374729,416000,855228,485315,377227,571771,600362,362021,387842,410897,381715,540424,876805,568633,1984139
"hsa-miR-23a-5p",6,10,9,7,15,3,19,15,4,8,0,1,10,2,22,7,11,42,11,18,1,5,4,7,4,4,13,18,10,3,6,7,5,26,9,8,24,19,2,18,12,7,5,7,5
"hsa-miR-23a-3p",20933,21919,26072,11504,26541,16472,26382,12755,7187,33667,2395,5226,34873,10539,26489,6536,50831,21571,7242,17059,7028,10921,28476,20798,11237,27399,5044,15094,22913,4511,18073,23041,6236,30483,17599,16947,34478,34423,32305,20461,38996,11269,35789,22726,10511
"hsa-miR-24-1-5p",97,140,129,20,111,89,158,37,20,111,87,28,58,134,82,133,66,48,87,47,20,173,89,96,134,35,107,56,22,126,122,84,20,66,112,60,85,58,71,22,142,348,59,30,140
"hsa-miR-24-3p",8673,5882,8953,4797,6916,7597,14504,3495,2386,14537,2050,1907,7121,6591,6516,4344,16475,9116,2752,5467,4469,5750,7712,5193,4061,6868,2878,5051,7337,2781,5650,6943,2890,7143,4810,8211,8521,16693,6142,6214,16006,10452,13477,6750,7035
"hsa-miR-24-2-5p",191,103,251,35,71,144,221,39,47,240,7,30,124,47,77,32,213,118,24,48,45,66,175,175,61,77,18,97,77,17,52,71,29,129,116,103,194,193,100,83,186,42,142,96,54
"hsa-miR-25-5p",0,1,0,0,0,1,0,1,2,1,0,2,0,0,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,1,2,0,1,0,0
"hsa-miR-25-3p",53477,32805,38159,28485,28301,33070,55709,13494,26321,80430,8101,20530,24691,21885,21540,20422,110533,41402,13958,24410,32442,17858,29623,44508,23136,19522,16660,35563,35337,11559,22770,19317,14416,24576,40186,28189,27441,42830,51548,21866,43324,13784,51365,17101,20816
"hsa-miR-26a-5p",18111,9401,13342,6876,9019,17704,22177,2972,17866,23836,3261,2892,14344,17102,11592,11453,21681,10630,11292,13625,2849,9922,18821,10234,14187,7217,5284,10722,10076,5398,6589,7993,1748,7131,13318,14127,8850,15428,9628,6346,18990,10289,24979,5779,14648
"hsa-miR-26a-1-3p",3,6,6,15,4,6,15,3,0,10,5,2,12,3,1,5,6,6,6,8,1,6,11,6,6,4,6,4,2,2,4,1,3,5,4,2,10,19,6,2,8,5,2,3,8
"hsa-miR-26b-5p",2892,2968,4564,2052,1987,6235,7220,1227,3054,5663,2016,540,5098,5686,2526,4863,6203,2359,3439,1830,1816,3899,4782,4418,6339,1363,3000,3041,2253,2353,1359,1291,1681,2445,5356,1967,2961,5359,3195,1484,4186,2825,4972,1476,5987
"hsa-miR-26b-3p",30,80,68,149,144,103,219,57,136,72,103,23,248,180,113,199,310,125,163,100,75,200,98,120,326,77,145,114,89,152,99,76,90,42,131,65,168,220,225,74,150,85,76,68,225
"hsa-miR-27a-5p",19,19,78,23,12,41,107,12,10,20,1,5,28,14,43,15,119,116,26,72,6,14,34,18,6,34,13,89,70,8,22,24,2,63,42,17,76,209,4,30,35,33,67,71,24
"hsa-miR-27a-3p",6775,5702,11954,4318,6876,11338,14044,2423,2732,13526,569,1789,9643,3213,6940,1509,17057,7823,1631,6737,3558,3211,11916,7105,2859,9115,1211,6928,7702,758,3904,6952,2059,7620,6488,6430,13254,17296,6881,8781,11031,2685,10844,8970,2975
"hsa-miR-28-5p",438,520,426,702,334,434,907,341,420,944,253,132,369,1316,347,948,1115,649,695,611,433,781,377,373,873,360,517,331,805,556,361,575,309,489,448,659,444,765,489,408,840,547,892,479,1291
"hsa-miR-28-3p",23748,12981,15984,23026,11171,15174,21005,9042,11306,19717,7238,4695,7656,19160,6500,19986,18211,19586,14335,11944,10938,16299,11824,15142,23197,9121,12587,8461,13104,13000,9096,10040,9854,12132,13634,10576,12424,16569,17398,11440,20224,11832,13838,14775,19196
"hsa-miR-29a-5p",28,41,40,47,64,31,86,53,51,70,13,9,41,42,49,52,46,60,45,56,19,36,34,29,44,33,16,29,38,36,23,39,18,41,38,41,32,32,111,47,42,19,73,53,40
"hsa-miR-29a-3p",57789,25484,36008,29180,33033,81113,82129,23457,58080,41705,8678,13254,25430,53705,45463,29433,25750,47382,34430,75007,16676,45483,27235,20953,40442,17224,16600,31069,28168,16081,23158,50410,10080,25719,36465,54423,24690,41434,34558,48379,35612,10882,61887,31346,37387
"hsa-miR-30a-5p",172895,277556,123722,202734,557574,857637,589533,225250,45044,350586,52031,70419,164908,129624,383691,106771,225517,367695,80239,370153,45893,105832,156326,112368,113479,29283,85021,125957,119558,85418,238239,198756,38791,198369,395416,232001,196300,79852,292792,345935,210413,148709,209707,79439,147983
"hsa-miR-30a-3p",34565,40951,20810,35128,105143,83905,99259,48692,9757,39128,16502,10141,38925,34159,75820,34859,42022,59961,23174,63470,11055,31883,21132,23997,38857,7089,30703,26216,18357,30891,45566,29701,9893,25151,66277,33119,45175,12429,66738,61740,37325,30879,20123,20855,38733
"hsa-miR-31-5p",24,5,342,5,5,1,0,1,13,2,0,0,1,2,1,0,0,4,2,2,44,2,11,5,4,1,0,7,0,0,1,0,0,25,1,4,2,3,0,8,1,0,4,212,0
"hsa-miR-31-3p",31,4,356,4,7,2,0,0,11,2,0,1,3,4,1,0,0,2,0,0,33,1,9,6,4,2,0,7,0,0,4,0,0,18,6,0,0,1,0,7,0,0,1,177,1
"hsa-miR-32-5p",116,125,141,251,79,238,245,66,242,180,59,84,164,208,140,150,369,92,120,119,161,209,91,109,175,255,124,142,273,70,253,127,96,98,188,89,72,159,127,92,123,186,170,105,223
"hsa-miR-32-3p",5,3,2,7,2,5,8,3,5,5,2,0,4,6,3,5,9,5,4,4,7,2,3,6,10,11,3,4,9,1,4,2,3,2,5,3,2,3,8,2,2,3,3,3,4
"hsa-miR-33a-5p",13,93,69,135,87,55,224,66,162,137,105,50,194,106,74,110,144,138,112,92,120,236,28,244,246,86,113,157,57,135,132,63,77,20,196,88,151,129,130,56,257,34,63,54,94
"hsa-miR-33a-3p",6,5,3,6,4,6,3,7,10,6,9,3,14,15,5,12,17,4,16,6,8,32,3,13,25,14,15,4,1,18,14,5,8,1,4,4,5,4,4,5,16,5,6,6,14
"hsa-miR-92a-1-5p",11,13,8,8,4,21,21,4,22,5,4,4,4,4,8,9,12,8,10,13,5,4,5,8,8,6,3,6,1,4,9,2,0,3,12,5,5,15,5,12,11,6,12,9,9
"hsa-miR-92a-3p",46910,73066,41601,81974,44494,60909,41819,29192,37317,66896,38566,20760,55427,96603,44266,98377,85376,40597,69848,71503,97242,65397,33202,34263,105484,55642,67069,29244,49817,74022,37864,17409,27414,52282,45454,40399,38557,58461,56212,71547,100409,16798,55447,31215,82131
"hsa-miR-92a-2-5p",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-93-5p",21292,23060,30552,23947,19885,8365,28063,11379,11762,57506,4438,11974,10808,16927,10226,11714,61910,20711,8744,9992,33683,11973,13985,22078,11631,13867,10382,13659,18452,8358,15230,12567,11320,19835,16444,13792,12794,28308,25326,14846,22213,14636,25871,11666,15380
"hsa-miR-93-3p",21,28,48,40,46,30,72,20,15,66,13,12,29,26,19,15,95,38,19,18,56,24,20,75,35,31,15,34,26,12,36,24,75,24,43,24,31,50,80,19,37,37,36,30,25
"hsa-miR-95-5p",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-95-3p",22,13,28,5,46,21,25,22,10,38,6,3,27,23,41,4,153,59,9,12,39,5,36,99,20,5,11,6,50,4,12,9,7,117,39,9,3,23,26,59,50,47,98,37,24
"hsa-miR-96-5p",49,184,51,31,84,178,223,94,7,456,2,59,108,2,46,4,334,77,3,127,199,18,65,117,0,118,2,90,159,0,154,215,45,144,132,73,56,199,155,86,204,114,232,21,6
"hsa-miR-96-3p",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0
"hsa-miR-98-5p",281,182,211,482,276,88,388,168,220,344,68,32,123,241,173,180,732,247,129,146,234,165,173,168,169,235,134,165,386,107,185,261,101,146,167,226,193,388,509,226,242,45,417,165,315
"hsa-miR-98-3p",3,1,5,17,9,0,10,7,5,8,1,0,1,6,8,6,15,8,4,2,12,6,1,13,8,2,7,3,10,3,8,4,5,4,3,3,6,11,23,6,1,0,3,7,6
"hsa-miR-99a-5p",4356,1957,3560,215,1654,1023,3966,1379,2139,4112,3494,326,2231,13976,3725,11776,1009,2816,8687,1214,595,8172,4885,2055,9873,1182,6609,2472,1976,7055,871,580,1249,1200,2743,4338,1291,3945,2065,1317,1418,1522,4558,1516,17150
"hsa-miR-99a-3p",12,6,11,2,4,7,19,6,4,12,6,2,12,43,10,45,3,13,29,1,2,38,6,11,36,6,26,8,2,19,3,3,1,2,12,10,7,12,4,7,2,7,13,5,46
"hsa-miR-100-5p",75784,27039,43301,2914,24241,13733,57935,11016,30070,59812,23568,2660,26137,64413,58652,69037,9672,37326,28599,20277,8921,53070,52391,20451,34766,11968,35866,61018,3521,38786,10024,7823,14175,15847,30367,57063,25914,24418,27667,10233,49008,16385,43008,59799,70958
"hsa-miR-100-3p",2,0,1,0,1,2,2,3,2,3,3,1,3,2,2,1,1,1,0,0,0,1,1,4,3,0,0,3,0,2,1,0,2,0,0,1,3,0,0,0,1,1,1,12,5
"hsa-miR-101-5p",33,36,54,28,41,30,98,12,60,31,17,5,27,83,42,53,51,50,66,15,7,60,76,51,65,10,28,41,57,44,11,21,7,23,36,24,36,51,35,16,23,13,65,11,60
"hsa-miR-101-3p",61358,41080,56182,39246,60752,35850,123630,38927,192661,67015,84060,15275,44908,361470,87187,313253,93164,66521,224278,39325,28031,177000,59573,35811,261958,36835,153022,81478,89587,151540,21614,53893,28639,30518,76773,55544,40784,72575,87736,40629,35299,42767,101631,34484,326412
"hsa-miR-29b-1-5p",15,9,19,26,22,32,43,14,29,19,3,6,8,19,23,46,12,16,21,65,2,8,17,16,18,9,5,14,8,15,26,24,3,23,38,12,17,19,21,33,14,9,32,21,37
"hsa-miR-29b-3p",4224,5199,4928,4503,5789,8000,7374,3749,7288,3861,1026,3448,2083,4613,4956,3503,1752,5399,4050,9732,1791,5591,2082,4276,5414,2714,1692,2789,1892,2173,2793,7395,1730,4708,7424,4502,2607,3134,3013,5615,4127,3174,6955,3947,3480
"hsa-miR-29b-2-5p",111,45,138,104,136,53,197,38,91,87,52,20,153,148,68,124,114,105,94,129,56,104,88,88,144,55,90,62,49,89,42,96,116,56,93,53,68,141,240,50,171,344,193,69,170
"hsa-miR-103a-2-5p",8,6,9,5,1,9,5,2,8,23,0,4,4,2,3,3,11,4,1,1,7,2,11,10,5,6,0,3,2,3,2,1,0,4,6,4,10,3,4,9,4,5,15,2,2
"hsa-miR-103a-3p",152678,88156,109004,47780,61195,53973,94311,48085,64680,176877,33603,26764,37449,108035,49097,85326,132332,71996,57450,73583,67710,73854,64829,61539,76640,74274,64316,44410,53560,71145,54649,60022,58867,54399,66944,62731,45080,88210,76961,49816,69028,80795,190685,56865,116318
"hsa-miR-105-5p",1,0,2,0,0,0,1,1,6,1,1,0,0,0,0,0,2,5,0,1,737,0,0,0,0,0,0,0,1,0,3,2,1,0,0,0,0,0,2870,0,2,0,0,0,0
"hsa-miR-105-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"hsa-miR-106a-5p",20,52,38,706,16,29,21,11,52,94,10,16,15,24,15,13,33,61,20,94,85,25,55,44,21,31,11,20,26,12,24,17,9,28,31,24,29,44,15,50,12,36,102,7,28
"hsa-miR-106a-3p",0,0,0,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
"hsa-miR-107",195,260,272,295,268,247,342,128,225,842,203,96,171,586,220,442,718,459,253,531,269,390,166,189,386,259,385,209,266,375,285,547,353,192,204,613,194,317,307,226,403,220,881,216,750
"hsa-miR-16-2-3p",26,28,24,64,60,41,30,23,30,93,9,29,25,31,83,17,64,58,15,77,19,34,22,25,17,26,20,53,55,14,34,81,80,26,38,39,65,46,37,72,43,16,50,42,29
"hsa-miR-192-5p",9474,48298,33837,315888,13956,126273,67512,53406,6127,70497,104135,34108,28339,256449,34656,271114,128636,10873,180001,118732,18865,166931,14041,26763,232259,25201,179224,39175,16886,217655,116560,126500,100881,20531,50704,79916,54931,30787,74689,56502,50788,55741,49266,28970,324841
"hsa-miR-192-3p",20,160,197,1473,74,524,253,169,21,388,303,148,147,1059,187,1096,595,50,796,434,66,782,34,80,992,129,704,179,86,556,493,641,461,77,175,263,273,114,300,171,172,169,256,107,1319
"hsa-miR-196a-5p",406,1,66,2306,7,288,195,6,46,8,0,0,5,10,12,6,12,5,11,78,1224,1,5,7,11,2,3,3,1,1,311,4,4,293,9,7,460,1,2,394,2,1,4,5,9
"hsa-miR-197-5p",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"hsa-miR-197-3p",920,1226,1235,1563,904,2078,2189,1067,935,2034,505,420,1206,1432,878,1259,4485,1878,1048,542,1463,1391,1080,1580,1655,1025,1285,795,1893,1105,788,1036,571,703,1068,884,1294,1643,2902,1571,1164,657,3170,1306,1730
"hsa-miR-198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-199a-5p",14349,10035,17566,1084,3725,5710,15240,3231,5362,37499,3027,1988,6767,11941,6747,5386,8320,7544,5116,5085,2125,6938,16710,10324,10113,4173,3378,7662,2825,3860,4269,2234,1078,5472,9453,10729,6338,7081,6500,2969,7839,2747,13907,2907,9927
"hsa-miR-199a-3p",24430,13595,23696,3494,13077,7905,36715,5907,11360,44641,6623,1969,17630,26394,16615,11988,17251,17746,10839,13275,4610,16742,26862,18308,22637,9785,6976,21080,5992,8878,8750,6545,2384,9039,14223,22804,18678,17324,13780,6793,13702,3387,19506,8444,18541
"hsa-miR-208a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-208a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-129-5p",2,13,172,5,5,1,14,9,36,18,3,0,21,2,134,0,13,1,4,11,9,10,8,16,15,47,0,7,7,4,28,5,11,4,3,6,4,3,3,14,101,2,9,4,8
"hsa-miR-129-1-3p",0,0,3,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"hsa-miR-148a-5p",228,33,77,171,104,40,98,37,135,142,151,20,66,695,194,476,227,137,386,97,45,389,33,85,368,110,383,105,40,250,28,153,105,9,96,86,48,69,58,90,47,19,77,63,851
"hsa-miR-148a-3p",303488,52931,122375,162505,120466,81707,91221,94907,98953,96016,266789,23902,110761,809191,184618,845159,236715,124825,738475,87650,79820,510329,62970,171013,918207,153634,566946,147642,41076,492308,35672,134667,182749,31581,177592,73990,68094,89750,94997,98125,68020,43244,79925,52306,917960
"hsa-miR-30c-5p",4899,8312,4677,3079,4055,10981,8115,3313,2268,11754,1700,1658,3420,3960,3530,4365,7842,4676,3115,3882,1271,3461,5117,5979,3971,1835,2663,2268,5874,1903,3049,3570,2070,4358,8124,2162,3716,2943,6203,4056,3466,6447,8999,1588,5900
"hsa-miR-30c-2-3p",336,367,213,321,607,289,779,599,120,415,162,27,298,502,718,457,433,559,329,505,159,409,177,167,339,81,385,235,288,309,231,236,100,270,401,216,523,166,751,589,189,254,274,239,731
"hsa-miR-30d-5p",26246,80792,25199,167374,178420,55005,117443,35458,26458,167872,14582,25560,145135,59334,134499,53466,364824,175000,45011,339693,15490,38754,58820,42487,56536,162005,36467,38176,108470,22964,75173,66430,27967,57261,68839,74030,31803,200274,199266,81421,218901,48699,126014,22975,68400
"hsa-miR-30d-3p",34,43,20,83,103,32,106,19,14,144,16,18,90,61,72,54,224,101,57,152,17,35,37,46,80,86,22,25,54,23,48,42,43,23,62,24,35,113,111,49,81,28,88,19,83
"hsa-miR-139-5p",398,330,782,155,154,117,338,367,420,315,604,193,143,2158,245,2396,52,255,2290,102,103,1910,233,328,1941,300,1358,295,48,1077,58,143,288,178,666,390,82,68,297,139,75,934,576,225,3515
"hsa-miR-139-3p",81,36,133,30,22,15,75,59,160,54,115,18,30,306,51,346,16,38,287,18,26,289,34,35,259,60,173,52,6,134,18,39,52,15,81,58,20,13,39,38,23,125,80,46,423
"hsa-miR-147a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-7-5p",4,2,94,10,0,1,2,1,2,11,1,0,0,1,1,3,3,2,0,3,3,1,1,1,0,0,1,0,0,1,0,0,1,1,4,1,0,1,0,2,1,2,3,3,2
"hsa-miR-7-1-3p",53,41,59,39,54,20,121,40,112,48,23,45,27,67,59,76,113,42,102,29,85,124,49,49,128,52,43,22,22,43,123,56,34,34,68,41,35,20,89,66,41,47,45,95,107
"hsa-miR-7-2-3p",1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
"hsa-miR-10a-5p",562797,182050,312212,379285,113325,203847,404137,38478,90568,192428,50269,17054,112540,146664,114359,116734,605146,141935,124338,105454,64685,96912,284158,254838,174707,44354,60022,142077,27883,75719,141872,28001,15997,123443,137176,154397,197672,219275,118490,87266,138864,32315,123678,74818,116153
