"","symbol","group","baseMean","logFC","lfcSE","stat","PValue","FDR"
"ENSG00000100714","MTHFD1","protein_coding",5400.17746345039,-3.38512896236981,0.233548853311699,-14.4943077834424,1.31622570891057e-47,8.13427488106735e-45
"ENSG00000157379","DHRS1","protein_coding",2695.02174435804,-3.24755428556045,0.225753825531497,-14.3853787545556,6.39271735802014e-47,3.79267135416619e-44
"ENSG00000106993","CDC37L1","protein_coding",1435.3396332216,-2.5003081949193,0.174586273404468,-14.3213332077189,1.61004581537401e-46,9.18469212831823e-44
"ENSG00000196177","ACADSB","protein_coding",9810.06428987329,-4.8961282817866,0.342159494400473,-14.3094912224065,1.90904835208155e-46,1.04870389474346e-43
"ENSG00000119673","ACOT2","protein_coding",1379.72147270384,-3.24604303590801,0.226917958288813,-14.3049191010989,2.03874754238433e-46,1.07995369816587e-43
"ENSG00000067225","PKM","protein_coding",37318.3545230816,4.12945341582187,0.28891358144205,14.2930401375061,2.4181808664868e-46,1.23677443488732e-43
"ENSG00000117305","HMGCL","protein_coding",5481.54146968269,-3.45635751646983,0.243514996368885,-14.1936125824219,1.00352927312332e-45,4.96144872632171e-43
"ENSG00000160323","ADAMTS13","protein_coding",880.023867434894,-3.32482899296194,0.236244911310609,-14.0736533731749,5.5145338123696e-45,2.63843759693761e-42
"ENSG00000146085","MMUT","protein_coding",4862.42118660138,-3.20713930370859,0.228008768901547,-14.0658594805773,6.1570254226835e-45,2.8537812834138e-42
"ENSG00000184517","ZFP1","protein_coding",512.443080313665,-2.32475099248093,0.166217392764928,-13.9862077837347,1.89236733625261e-44,8.50533100948446e-42
"ENSG00000004864","SLC25A13","protein_coding",3343.77338197954,-2.94000377528869,0.210706487998654,-13.9530766385678,3.01321253409631e-44,1.31446965605049e-41
"ENSG00000155666","KDM8","protein_coding",1091.24750850406,-4.2555945136541,0.307396080825961,-13.8440103147037,1.38272042935944e-43,5.85957411664549e-41
"ENSG00000151552","QDPR","protein_coding",3693.28480810667,-3.19840545216047,0.231400964289437,-13.8219192905345,1.87989882111357e-43,7.7451831429879e-41
"ENSG00000109576","AADAT","protein_coding",804.314902368769,-4.51047856094141,0.328154602644345,-13.7449803373012,5.45878849793481e-43,2.18823651355052e-40
"ENSG00000165410","CFL2","protein_coding",2156.21206502963,-3.27652663515443,0.239846527329998,-13.6609300606898,1.73750305057521e-42,6.78174874898197e-40
"ENSG00000066583","ISOC1","protein_coding",1898.57786418169,-2.49977691542064,0.183610461779881,-13.6145668998832,3.28084887138958e-42,1.24773206308847e-39
"ENSG00000169738","DCXR","protein_coding",15956.4140073834,-5.18773538226923,0.382720826463014,-13.5548813222752,7.41319491453164e-42,2.74881267430833e-39
"ENSG00000137269","LRRC1","protein_coding",688.902722133816,3.5048228372995,0.260952438029012,13.4308874972452,3.98605535850317e-41,1.44197983115412e-38
"ENSG00000128928","IVD","protein_coding",7973.51048690804,-2.61343718165965,0.196276346346561,-13.3150898226175,1.89144841524233e-40,6.67951497497005e-38
"ENSG00000100889","PCK2","protein_coding",12872.7593290477,-4.81296193655195,0.363558359715006,-13.2384851233371,5.25990707294811e-40,1.8143009699062e-37
"ENSG00000142168","SOD1","protein_coding",14827.2149258713,-2.8823082937549,0.217846302463712,-13.2309259379558,5.81663417076842e-40,1.96073450047357e-37
"ENSG00000140263","SORD","protein_coding",4686.5360581831,-4.77856406169378,0.362321718296083,-13.1887320588075,1.01884449439216e-39,3.35811145351657e-37
"ENSG00000165140","FBP1","protein_coding",5359.42040185599,-5.07867088058626,0.386507917497267,-13.1398883455529,1.94513544460289e-39,6.27179324225e-37
"ENSG00000146416","AIG1","protein_coding",4512.12725103866,-2.62390200868243,0.199836608930673,-13.130236860618,2.20964303030444e-39,6.97306923946285e-37
"ENSG00000149639","SOGA1","protein_coding",1675.82521003322,2.41454919765555,0.18496580169516,13.0540303965754,6.02725068703315e-39,1.86242046229324e-36
"ENSG00000163702","IL17RC","protein_coding",1358.64329463978,-2.42011065102461,0.186557070374939,-12.9724949376656,1.75232223591876e-38,5.30417212309123e-36
"ENSG00000119888","EPCAM","protein_coding",11787.7034934689,4.64346055735666,0.358185671521857,12.9638367096806,1.96184071952228e-38,5.81960431039088e-36
"ENSG00000167513","CDT1","protein_coding",703.185619190557,4.0536309956772,0.313293449161215,12.938767173492,2.719585732744e-38,7.9091952133449e-36
"ENSG00000167642","SPINT2","protein_coding",3426.95308196523,3.63350196318254,0.284020752442302,12.7930861809849,1.79213153046305e-37,5.11171054996692e-35
"ENSG00000060642","PIGV","protein_coding",946.355404723637,-2.10058102224499,0.164369645720063,-12.7796164130114,2.13118003863857e-37,5.96408723265796e-35
"ENSG00000241058","NSUN6","protein_coding",1094.84789257017,-2.54000407649625,0.19893251496443,-12.7681695320165,2.46892423059256e-37,6.78131188669422e-35
"ENSG00000198758","EPS8L3","protein_coding",2492.51320746251,7.1222160605622,0.558975519923029,12.7415527276453,3.47410906855228e-37,9.36872467359408e-35
"ENSG00000174938","SEZ6L2","protein_coding",4270.49749683516,4.97058639971598,0.390735974255454,12.7210871975313,4.51533562929273e-37,1.19591889381553e-34
"ENSG00000125731","SH2D3A","protein_coding",2074.02551220351,4.20602822599377,0.331145816100092,12.7014385249622,5.80527022449897e-37,1.51059242052226e-34
"ENSG00000138796","HADH","protein_coding",3664.40449463263,-3.0378008299659,0.24066791741721,-12.6223755229482,1.58952950253707e-36,4.06481061752239e-34
"ENSG00000132470","ITGB4","protein_coding",11036.1483829226,4.73850910466411,0.375937458755425,12.6045143794699,1.99396952191383e-36,5.01263660152981e-34
"ENSG00000181192","DHTKD1","protein_coding",5239.54937524695,-3.36131526524774,0.267235413583652,-12.5781056491435,2.7863141091393e-36,6.88776847779234e-34
"ENSG00000177054","ZDHHC13","protein_coding",736.553469308949,2.45943151888725,0.196149659512321,12.5385459500773,4.59346456677456e-36,1.11688961400656e-33
"ENSG00000143476","DTL","protein_coding",526.536085476291,4.16477033427916,0.33225656848883,12.5348021055577,4.81562024470394e-36,1.15195740965123e-33
"ENSG00000180346","TIGD2","protein_coding",571.915117492286,-3.07877419834364,0.245642868305225,-12.5335378942005,4.89302297788749e-36,1.15195740965123e-33
"ENSG00000141934","PLPP2","protein_coding",5984.90028455608,4.59536424335828,0.366751585813887,12.5299096748562,5.12209788765619e-36,1.18704618546432e-33
"ENSG00000166557","TMED3","protein_coding",4080.31028488474,2.69279876670124,0.215132964995916,12.5169044490804,6.03429765561694e-36,1.37693388966324e-33
"ENSG00000164221","CCDC112","protein_coding",306.29226721377,2.38737042725004,0.190873853287886,12.5075822912701,6.78582849002391e-36,1.5249607297581e-33
"ENSG00000047578","KATNIP","protein_coding",1023.9208969467,1.41783075032461,0.113601495061873,12.480740236318,9.50983989736155e-36,2.1052230650398e-33
"ENSG00000173334","TRIB1","protein_coding",5829.78460590716,-3.26142292450684,0.261875374067942,-12.4541031630591,1.32836313971196e-35,2.89739442473643e-33
"ENSG00000143061","IGSF3","protein_coding",2453.40383555543,4.20653797175448,0.338450888710193,12.4287987181397,1.82354040036051e-35,3.91981901712276e-33
"ENSG00000173531","MST1","protein_coding",4691.91977922617,-5.01689046170116,0.404435417069525,-12.4046763709587,2.46506714866461e-35,5.2231251355705e-33
"ENSG00000118777","ABCG2","protein_coding",740.174983756059,-4.34276779524439,0.350931778265727,-12.3749630674827,3.57058501284743e-35,7.45900238176804e-33
"ENSG00000138030","KHK","protein_coding",3294.97605011778,-4.98736620520604,0.403133004511496,-12.3715154784947,3.72721908206666e-35,7.67807130905732e-33
"ENSG00000087258","GNAO1","protein_coding",647.013265976167,-4.65248907099531,0.376233450790914,-12.3659633698569,3.99393988393277e-35,8.11481046006725e-33
"ENSG00000166855","CLPX","protein_coding",2729.55031000345,-1.88889335755405,0.152893234995177,-12.3543291998082,4.61590318094306e-35,9.2517670242902e-33
"ENSG00000152078","TLCD4","protein_coding",4111.02949752906,-3.98773401974086,0.322940587351513,-12.3481970861727,4.98153001019116e-35,9.85147374815403e-33
"ENSG00000058085","LAMC2","protein_coding",9975.57972349172,5.3471504627118,0.433226333832641,12.3426256557558,5.3386042058404e-35,1.02833996858474e-32
"ENSG00000171723","GPHN","protein_coding",1060.01259899587,-2.54943078163146,0.206548953112512,-12.3429857339569,5.31477701351451e-35,1.02833996858474e-32
"ENSG00000172340","SUCLG2","protein_coding",5360.03021955967,-2.59319325266305,0.210828701913909,-12.3000010393365,9.05729736899584e-35,1.72227993047367e-32
"ENSG00000137106","GRHPR","protein_coding",12073.2805093445,-3.15324538060377,0.25712650802471,-12.2634006304038,1.42396148664792e-34,2.64691655467008e-32
"ENSG00000181218","H2AW","protein_coding",436.163924431411,4.66582917387063,0.380474362331457,12.2631894177561,1.42767883207664e-34,2.64691655467008e-32
"ENSG00000091831","ESR1","protein_coding",722.863379840186,-5.44823747456342,0.444611804165354,-12.2539199893514,1.60067616284848e-34,2.93101590708255e-32
"ENSG00000101974","ATP11C","protein_coding",1290.11294623652,-2.98745670070849,0.244237662454146,-12.2317609441966,2.1032891338995e-34,3.80438834560944e-32
"ENSG00000063854","HAGH","protein_coding",5027.44613123232,-2.87100326419873,0.236642058929468,-12.1322611761692,7.12543595247588e-34,1.27330681984485e-31
"ENSG00000100162","CENPM","protein_coding",387.350167328515,4.3630491841651,0.360072210679443,12.1171505458091,8.56867165661127e-34,1.51298259536736e-31
"ENSG00000139531","SUOX","protein_coding",1758.37487190815,-2.2840182048972,0.188750265097753,-12.1007417060543,1.04661233683565e-33,1.82627696234663e-31
"ENSG00000154760","SLFN13","protein_coding",2716.85420895276,3.74775025496817,0.309769144133548,12.0985266800893,1.07523608598715e-33,1.8514504686726e-31
"ENSG00000174996","KLC2","protein_coding",1023.55395448153,2.02836002727724,0.167664812449847,12.0977085032912,1.0860045224819e-33,1.8514504686726e-31
"ENSG00000148773","MKI67","protein_coding",1606.46308658341,4.01032388325463,0.331858540237972,12.0844377859882,1.27640258000723e-33,2.15131853030309e-31
"ENSG00000176422","SPRYD4","protein_coding",1857.03167130138,-2.98292596419423,0.24739952788935,-12.0571206810401,1.77893951555618e-33,2.96463268480103e-31
"ENSG00000124370","MCEE","protein_coding",543.061150264061,-2.00557708095165,0.166451913744431,-12.048987817773,1.96346156810478e-33,3.23578466423667e-31
"ENSG00000104177","MYEF2","protein_coding",680.674460963642,4.39906121822523,0.365701310068414,12.0291098147892,2.49839958827141e-33,4.07211677947709e-31
"ENSG00000107566","ERLIN1","protein_coding",2760.27275393278,-2.55882947416105,0.2128304788012,-12.0228525941117,2.69503968720616e-33,4.34487267833062e-31
"ENSG00000161533","ACOX1","protein_coding",8517.53340940366,-2.80304859726314,0.233743183839426,-11.9920014403019,3.91333825798451e-33,6.17474819600279e-31
"ENSG00000182272","B4GALNT4","protein_coding",1687.00679423055,6.12462047988287,0.510689629320823,11.9928428701952,3.87378002756867e-33,6.17474819600279e-31
"ENSG00000106665","CLIP2","protein_coding",3295.22421277263,3.00632043382022,0.250798015422568,11.9870184329604,4.15596488106689e-33,6.48855485431412e-31
"ENSG00000156711","MAPK13","protein_coding",2985.37662292117,3.24657560817793,0.271289827082542,11.9671852169751,5.27892604932864e-33,8.07185888284974e-31
"ENSG00000157456","CCNB2","protein_coding",487.550783176146,4.38596286730609,0.366481497197208,11.9677607214804,5.2424445296598e-33,8.07185888284974e-31
"ENSG00000186480","INSIG1","protein_coding",13694.8534494781,-4.81576591980081,0.402463711681395,-11.9657146222742,5.37329711962382e-33,8.13232070186332e-31
"ENSG00000198130","HIBCH","protein_coding",2293.16061167097,-2.591951278084,0.217925639212341,-11.8937417710565,1.27560975455349e-32,1.91109534136741e-30
"ENSG00000198648","STK39","protein_coding",1360.61282644528,3.39508216449438,0.285856178843763,11.8768892043085,1.56067888305701e-32,2.31479891935015e-30
"ENSG00000132698","RAB25","protein_coding",3882.96552728497,5.25489095781449,0.443069989661917,11.8601825454805,1.90559218601068e-32,2.79839042603073e-30
"ENSG00000164466","SFXN1","protein_coding",3170.37183646606,-2.28713929292608,0.192969243236079,-11.8523514658136,2.09235790072755e-32,3.04253454741089e-30
"ENSG00000124429","POF1B","protein_coding",1296.32708953319,4.38029073730328,0.370167470447951,11.8332676072334,2.6271177812583e-32,3.78304960501195e-30
"ENSG00000276043","UHRF1","protein_coding",431.749617811078,4.3122787515119,0.364819182047138,11.8203180197765,3.06521969318296e-32,4.3714748547394e-30
"ENSG00000175029","CTBP2","protein_coding",2127.4078950218,2.61226312136595,0.221084977075975,11.8156518634383,3.24025873700978e-32,4.57709691307895e-30
"ENSG00000119471","HSDL2","protein_coding",3304.94190155234,-3.00719054029842,0.254726539114098,-11.8055643151946,3.65331707585534e-32,5.11188668576287e-30
"ENSG00000135373","EHF","protein_coding",5963.71904627729,4.15850271367808,0.353170481192859,11.7747743232459,5.26578362086089e-32,7.29926193127184e-30
"ENSG00000152782","PANK1","protein_coding",1998.38486578187,-3.79730783256742,0.322576965281432,-11.7717885691387,5.45554304460074e-32,7.49227911458501e-30
"ENSG00000004866","ST7","protein_coding",1027.86494953015,-1.74578334328572,0.148526178206593,-11.7540447372006,6.73177450944411e-32,9.16015408477753e-30
"ENSG00000100577","GSTZ1","protein_coding",2278.08731371576,-3.76573724050662,0.320430672967976,-11.7521122607478,6.88753634985111e-32,9.28690355827196e-30
"ENSG00000205336","ADGRG1","protein_coding",8682.14210749342,3.5116627684773,0.299092606368062,11.7410550903283,7.85009446015039e-32,1.0489423516482e-29
"ENSG00000109445","ZNF330","protein_coding",1122.72433136452,-1.62405944070007,0.138398470304843,-11.7346632309074,8.46626318481906e-32,1.1211751389039e-29
"ENSG00000171497","PPID","protein_coding",1468.83881564013,-1.81176242258591,0.154517023077999,-11.7253257051901,9.45367184140894e-32,1.24085717479449e-29
"ENSG00000006611","USH1C","protein_coding",4561.57511598007,5.31527781505252,0.453544719962097,11.7194128409139,1.01372151464452e-31,1.31890504431645e-29
"ENSG00000082458","DLG3","protein_coding",1896.24857683293,3.04963981295514,0.260541404302789,11.7050102693505,1.20144691081775e-31,1.54955309402164e-29
"ENSG00000147853","AK3","protein_coding",4513.52982868665,-2.3129469667173,0.197638665850379,-11.7029072057605,1.23160465238426e-31,1.57475519001409e-29
"ENSG00000099364","FBXL19","protein_coding",832.2943147882,1.84905485969396,0.158487436063146,11.666886067595,1.8818593729593e-31,2.38561865125918e-29
"ENSG00000168237","GLYCTK","protein_coding",3183.445487124,-4.28302641163307,0.367673952943007,-11.6489796934214,2.32222503426602e-31,2.91891878883336e-29
"ENSG00000146670","CDCA5","protein_coding",528.860074141809,3.7235590997216,0.320614644178615,11.6138148001974,3.50616477754603e-31,4.33361966504689e-29
"ENSG00000169258","GPRIN1","protein_coding",350.633671417984,4.48452124213362,0.386114821126916,11.6144757899867,3.47915641307401e-31,4.33361966504689e-29
"ENSG00000165304","MELK","protein_coding",291.147024849844,4.29869193010048,0.370905642525325,11.5897183467813,4.64657971218106e-31,5.69570828851814e-29
"ENSG00000139734","DIAPH3","protein_coding",173.783516301923,4.4462748919236,0.383876081974476,11.5825785994638,5.05036718334628e-31,6.13992180847475e-29
"ENSG00000107537","PHYH","protein_coding",8600.71440156752,-3.89259853264153,0.336302332070308,-11.5746997907458,5.53647215176729e-31,6.67617519959451e-29
"ENSG00000101856","PGRMC1","protein_coding",10901.2198815662,-2.81328354139903,0.24312674189003,-11.5712632823893,5.76278471387958e-31,6.89303410292435e-29
"ENSG00000170293","CMTM8","protein_coding",562.085051747421,-2.59566956032541,0.224554220821494,-11.5592107368527,6.63154935995363e-31,7.86873120854658e-29
"ENSG00000197894","ADH5","protein_coding",6330.17830467266,-1.96860099884385,0.170372379194173,-11.5546957092161,6.98946114093682e-31,8.22759425733134e-29
"ENSG00000117650","NEK2","protein_coding",373.178229838187,5.1105829798724,0.442354587853463,11.5531366017286,7.11745524743224e-31,8.31229104172559e-29
"ENSG00000147100","SLC16A2","protein_coding",2617.11159500207,-3.70181522772608,0.320985586448129,-11.5326525053308,9.03173904285749e-31,1.04655276159111e-28
"ENSG00000112294","ALDH5A1","protein_coding",4350.88628384879,-3.23343747258352,0.280522286788996,-11.5264904959785,9.70185359589359e-31,1.11548753902553e-28
"ENSG00000137491","SLCO2B1","protein_coding",6005.10460283694,-4.19432632313817,0.363913170648426,-11.525623861496,9.79997599134715e-31,1.11810187618201e-28
"ENSG00000169679","BUB1","protein_coding",382.68835586344,4.18038143287399,0.362866849122264,11.5204280660685,1.0409257740937e-30,1.17855046422578e-28
"ENSG00000237649","KIFC1","protein_coding",590.593652239479,3.85541068917568,0.334791667652958,11.5158501888767,1.09771503974776e-30,1.23343253557112e-28
"ENSG00000101057","MYBL2","protein_coding",862.198064538671,4.81331812447844,0.41854488572825,11.5001240932701,1.31725908582752e-30,1.468991485789e-28
"ENSG00000183317","EPHA10","protein_coding",560.756510641867,6.86773905418342,0.597292004304408,11.4981265523242,1.3480974207787e-30,1.49216275708878e-28
"ENSG00000137513","NARS2","protein_coding",562.043572754846,-1.71111576038226,0.14917085153297,-11.4708452944915,1.8484478070739e-30,2.03082799070519e-28
"ENSG00000121152","NCAPH","protein_coding",415.452221223449,3.61117862699094,0.314832433297999,11.4701607746139,1.86312810706817e-30,2.03190559441435e-28
"ENSG00000198948","MFAP3L","protein_coding",778.952422411367,-4.43769389855078,0.387283409974984,-11.4585179335139,2.13130615005829e-30,2.30741115457405e-28
"ENSG00000127564","PKMYT1","protein_coding",377.413358856478,3.70914410497135,0.324183161090604,11.4415076109851,2.59339334423608e-30,2.787334063892e-28
"ENSG00000116138","DNAJC16","protein_coding",1041.94551287616,-1.68512036255108,0.147447633958866,-11.428602259031,3.00913463231891e-30,3.21089819183842e-28
"ENSG00000133835","HSD17B4","protein_coding",8287.8385301489,-2.67484539378128,0.234126227434661,-11.4248003014859,3.14377462254646e-30,3.33060465725779e-28
"ENSG00000138180","CEP55","protein_coding",424.063138231361,4.85489407100691,0.425195035900962,11.4180403369943,3.39809746266763e-30,3.57450933094229e-28
"ENSG00000149554","CHEK1","protein_coding",467.100280154876,3.01052950533766,0.264526803156145,11.3808108267978,5.21129411707719e-30,5.44323340454147e-28
"ENSG00000163362","INAVA","protein_coding",1746.64543825894,4.85000648462737,0.426705325938283,11.3661728359323,6.16310766736012e-30,6.39239251204792e-28
"ENSG00000131069","ACSS2","protein_coding",3414.11488583275,-2.52764266344812,0.222425476137802,-11.3639979886213,6.31853245628552e-30,6.50808842997409e-28
"ENSG00000114346","ECT2","protein_coding",1303.00900420073,3.73309439951937,0.329091591651563,11.3436334875183,7.97625169333143e-30,8.15888035279254e-28
"ENSG00000204650","LINC02210","pseudogene",448.536066987131,2.3130019927637,0.203977868888227,11.3394752350861,8.36445167396853e-30,8.49736624851378e-28
"ENSG00000103550","KNOP1","protein_coding",566.899732120823,1.66624044214264,0.147051702120099,11.330983716066,9.21637685077374e-30,9.29913615310722e-28
"ENSG00000117724","CENPF","protein_coding",1441.13636625648,4.29378872520676,0.381249262238632,11.2624184503187,2.01161147248781e-29,2.01596090269859e-27
"ENSG00000158106","RHPN1","protein_coding",1640.20976651128,3.6160917684041,0.32133089568279,11.2534829889928,2.22623708988834e-29,2.21607708169288e-27
"ENSG00000127884","ECHS1","protein_coding",19664.3983854052,-3.37280284478361,0.2998021722396,-11.2500947527761,2.3134340546572e-29,2.28752359324504e-27
"ENSG00000213186","TRIM59","protein_coding",224.104301398812,3.28871494304484,0.292749826900595,11.2338749363686,2.78012743378324e-29,2.73078477469357e-27
"ENSG00000151690","MFSD6","protein_coding",1755.87993577997,2.84196203421624,0.253182486211895,11.2249550778079,3.07542703058932e-29,3.00096932353295e-27
"ENSG00000128298","BAIAP2L2","protein_coding",2264.34280116967,4.59794437894206,0.410568770283989,11.1989627846309,4.12535079088002e-29,3.9991635902178e-27
"ENSG00000178537","SLC25A20","protein_coding",2065.52995560479,-3.51995071514889,0.314345000054082,-11.1977308834029,4.18310850930092e-29,4.02882242921761e-27
"ENSG00000140876","NUDT7","protein_coding",154.592642199913,-2.81694141713099,0.251835136759487,-11.1856568284246,4.79342901015058e-29,4.58684768248732e-27
"ENSG00000115561","CHMP3","protein_coding",2324.25807651356,1.58626115711297,0.141864584081742,11.1815162845646,5.02244412047656e-29,4.75109381172264e-27
"ENSG00000121361","KCNJ8","protein_coding",770.095790466541,-4.37114777310815,0.390930341081037,-11.1813981002872,5.02913786704729e-29,4.75109381172264e-27
"ENSG00000099953","MMP11","protein_coding",4752.42361698043,5.46468569930908,0.488849006444944,11.1786781342769,5.18566162367498e-29,4.86795779761692e-27
"ENSG00000183856","IQGAP3","protein_coding",1067.24547242473,4.81846614227073,0.431075697103286,11.1777726618539,5.23883302041483e-29,4.88694159489262e-27
"ENSG00000159259","CHAF1B","protein_coding",417.724163674079,3.04118865107395,0.272232097558555,11.1713081534032,5.63448790951065e-29,5.22317029211638e-27
"ENSG00000140525","FANCI","protein_coding",658.342885151719,2.80796782107234,0.251379512350827,11.1702333846265,5.7030834868321e-29,5.25392138364557e-27
"ENSG00000172965","MIR4435-2HG","long_non_coding",716.072653619118,2.73892472385591,0.245433960415552,11.1595181009936,6.4339375233926e-29,5.89062724363945e-27
"ENSG00000105738","SIPA1L3","protein_coding",2909.4365565289,2.15894340699543,0.193675131907053,11.1472411854689,7.38609758247059e-29,6.72089566522723e-27
"ENSG00000175063","UBE2C","protein_coding",618.441247976701,4.67701099448094,0.419597995891308,11.1464092781141,7.45545612558442e-29,6.74264178382123e-27
"ENSG00000142945","KIF2C","protein_coding",463.715098767856,4.22493738740392,0.37944249930711,11.1345919213556,8.51340273026762e-29,7.65277510880784e-27
"ENSG00000111206","FOXM1","protein_coding",801.483744615585,3.96335068618899,0.355982351581764,11.1335594828742,8.61261725252758e-29,7.69532163189693e-27
"ENSG00000101412","E2F1","protein_coding",717.200080736317,3.63405651696103,0.326482538975109,11.1309368285637,8.86983525259589e-29,7.8776884111678e-27
"ENSG00000217648","AL136116.3","pseudogene",127.082495946402,-2.9697837163331,0.266933330844048,-11.1255634766276,9.42087133890377e-29,8.31728355348933e-27
"ENSG00000064547","LPAR2","protein_coding",1414.52352774466,3.23688591646663,0.291104359653993,11.1193316387085,1.01025963466645e-28,8.86637331442174e-27
"ENSG00000119711","ALDH6A1","protein_coding",7983.48241779436,-4.47919425478787,0.403331617488463,-11.1054875456571,1.17971750949877e-28,1.02926882946387e-26
"ENSG00000125166","GOT2","protein_coding",9472.16984729112,-2.80135304361683,0.252543882445407,-11.0925397063316,1.36360457732014e-28,1.18274754917032e-26
"ENSG00000116171","SCP2","protein_coding",17161.8627444715,-3.1536253575514,0.284815270304145,-11.0725290613237,1.70519182184072e-28,1.4704305291594e-26
"ENSG00000089220","PEBP1","protein_coding",38143.30610303,-2.79074321855122,0.252110301317532,-11.069532676637,1.76317662347276e-28,1.51164368088717e-26
"ENSG00000163872","YEATS2","protein_coding",1275.35643451879,1.70877797735929,0.154750017817148,11.0421827503656,2.39151930642028e-28,2.03856404326584e-26
"ENSG00000126787","DLGAP5","protein_coding",240.204840815264,4.40309690378626,0.398808940912122,11.0406173284778,2.43355426193654e-28,2.06254153217387e-26
"ENSG00000171241","SHCBP1","protein_coding",279.593836242182,4.14047988493688,0.37516614197505,11.0363900727807,2.55076251185962e-28,2.14959713499443e-26
"ENSG00000157326","DHRS4","protein_coding",538.161145454304,-2.65863382007113,0.240978960810685,-11.0326387462504,2.65945443098027e-28,2.22853266216381e-26
"ENSG00000205702","CYP2D7","pseudogene",554.230271031854,-4.53737013325263,0.411918320724268,-11.0152180783672,3.22754071563451e-28,2.68937549967928e-26
"ENSG00000159200","RCAN1","protein_coding",3780.91812163545,-3.90050436515541,0.354162903748834,-11.0133058089042,3.29680415791348e-28,2.7317429759873e-26
"ENSG00000171503","ETFDH","protein_coding",2382.78071884297,-3.57664870503304,0.324886094852892,-11.0089313199217,3.46084424220631e-28,2.851735655578e-26
"ENSG00000241399","CD302","protein_coding",372.077419388829,-4.45683640492645,0.405012936556673,-11.0041828362754,3.64808216125502e-28,2.9894118572229e-26
"ENSG00000170458","CD14","protein_coding",10115.484066655,-4.12851341652991,0.376018172654644,-10.9795582149211,4.79261823246707e-28,3.90572052878855e-26
